top,depth1,depth2,depth3,depth4,depth5,depth4_id,depth5_id
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,곱셈공식의 변형1(문자 2개),문자 2개8(전개식의 계수를 이용한 합과 곱 만들기),11707,11715
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,곱셈공식의 변형1(문자 2개),문자 2개9(오차 이상의 홀수 제곱의 합 또는 차),11707,11716
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,곱셈공식의 변형1(문자 2개),문자 2개10(주어진 등식 이용. 식의 값 구하기),11707,11717
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,곱셈공식의 변형1(문자 2개),문자 2개11(주기성. 오메가),11707,11718
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,곱셈공식의 변형2(역수관계),역수관계1(제곱의 합 또는 차),11719,11720
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,곱셈공식의 변형2(역수관계),역수관계2(세제곱의 합 또는 차),11719,11721
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,곱셈공식의 변형2(역수관계),역수관계3(다항방정식에서 역수 꼴의 식 만들기),11719,11722
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,곱셈공식의 변형2(역수관계),역수관계4(오차 이상의 홀수 제곱의 합),11719,11723
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,곱셈공식의 변형2(역수관계),역수관계5(켤레수의 이용),11719,11724
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,곱셈공식의 변형3(문자 3개. 제곱의 합),제곱의 합1(기본),11725,11726
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,곱셈공식의 변형3(문자 3개. 제곱의 합),제곱의 합2(역수의 제곱의 합),11725,11727
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,곱셈공식의 변형3(문자 3개. 제곱의 합),제곱의 합3(곱의 제곱의 합),11725,11728
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,곱셈공식의 변형3(문자 3개. 제곱의 합),제곱의 합4(네제곱의 합),11725,11729
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,곱셈공식의 변형3(문자 3개. 제곱의 합),제곱의 합5(주어진 등식 이용),11725,11730
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,곱셈공식의 변형3(문자 3개. 제곱의 합),제곱의 합6(정의된 식),11725,11731
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,곱셈공식의 변형4(문자 3개. 세제곱의 합),세제곱의 합1(기본),11732,11733
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,곱셈공식의 변형4(문자 3개. 세제곱의 합),세제곱의 합2(차의 제곱의 합),11732,11734
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,곱셈공식의 변형4(문자 3개. 세제곱의 합),세제곱의 합3(정의된 식),11732,11735
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,곱셈공식의 변형4(문자 3개. 세제곱의 합),다섯제곱의 합,11732,11736
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,곱셈공식의 변형5(문자 3개. 차의 제곱의 합),차의 제곱의 합1(기본),11737,11738
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,곱셈공식의 변형5(문자 3개. 차의 제곱의 합),차의 제곱의 합2(차의 제곱의 합이 0인 식 조건),11737,11739
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,곱셈공식의 변형5(문자 3개. 차의 제곱의 합),차의 제곱의 합3(세제곱의 합 조건),11737,11740
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,곱셈공식의 변형5(문자 3개. 차의 제곱의 합),차의 제곱의 합4(차의 제곱의 합이 0인 식 만들기),11737,11741
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용1(곱셈공식을 이용한 수의 계산),수의 계산1(기본 계산),11742,11743
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용1(곱셈공식을 이용한 수의 계산),수의 계산2(수의 삽입),11742,11744
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용1(곱셈공식을 이용한 수의 계산),수의 계산3(자릿수 구하기),11742,11745
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용1(곱셈공식을 이용한 수의 계산),수의 계산4(정의된 식의 해석),11742,11746
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용2(도형 및 기타),도형1(삼각형의 변 사이의 관계식 구하기),11747,11748
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용2(도형 및 기타),도형2(삼각형의 꼴 구하기),11747,11749
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용2(도형 및 기타),도형3(직각삼각형 조건),11747,11750
